2,2,2,2
2,3,2,2
2,4,2,2
2,3,3,2
2,4,3,2
2,5,3,2
2,6,3,2
2,4,4,2
2,5,4,2
2,6,4,2
2,7,4,2
2,8,4,2
2,5,2,2
2,5,5,2
2,6,5,2
2,7,5,2
2,8,5,2
2,9,5,2
2,10,5,2
2,3,3,3
2,4,3,3
2,5,3,3
2,6,3,3
2,7,3,3
2,8,3,3
2,9,3,3
3,2,2,2
3,3,2,2
3,4,2,2
3,3,3,2
3,4,3,2
3,5,3,2
3,6,3,2
4,2,2,2
4,3,2,2
4,4,2,2
4,3,3,2
4,4,3,2
4,5,3,2
4,6,3,2
5,2,2,2
5,3,2,2
5,4,2,2
5,3,3,2
5,4,3,2
5,5,3,2
5,6,3,2
7,2,2,2
7,3,2,2
7,4,2,2
8,2,2,2
8,3,2,2
8,4,2,2
9,2,2,2
9,3,2,2
9,4,2,2
11,2,2,2
11,3,2,2
11,4,2,2
13,2,2,2
13,3,2,2
13,4,2,2
17,2,2,2
17,3,2,2
17,4,2,2
19,2,2,2
19,3,2,2
19,4,2,2
3,4,4,2
3,5,4,2
3,6,4,2
3,7,4,2
3,8,4,2
7,3,3,2
7,4,3,2
7,5,3,2
7,6,3,2
2,2,2,2,2
2,3,2,2,2
2,4,2,2,2
2,5,2,2,2
2,6,2,2,2
2,7,2,2,2
2,8,2,2,2
23,2,2,2
23,3,2,2
23,4,2,2
29,2,2,2
29,3,2,2
29,4,2,2
31,2,2,2
31,3,2,2
31,4,2,2
